## Model CSV,,,,,,,,,,
#SubModel,# Product Name,# Part Number,# Material,# Young's Modulus [kgf/mm2],# Density [kg/m3],# Measured Mass(kg),# Mesh Size,# Min Length,# Join Group Number,# Fill All Holes
BED_ASSY,BED,T751000168-801,FC300_EiFC28,14040,7300,,42,-,1,
BED_ASSY,RAIL_FRONT,T751000262-201,SCM415,22500,7820,,-,-,,TRUE
BED_ASSY,RAIL_REAR,T751000362-201,SCM415,22500,7820,,-,-,,TRUE
CHUCK_CYLINDER_ASSY,ADJUST_NUT,T75_ADJUST_NUT_CXE298_190418,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,CHUCK,Z902231250_A,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,CYLINDER,T75_CYLINDER_CXE298_190418,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,CYLINDER_ADAPTER,MS2H167960_130215,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,CYLINDER_CASE,T75_CYLINDER_CASE_CXE298_190418,ALUMINIUM_AC4A,7000,2770,,-,-,,
CHUCK_CYLINDER_ASSY,DISTANCE_STAND,T75_DISTANCE_STAND_CXE298_190418,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,DISTRIBUTER,T75_DISTRIBUTER_CXE298_190418,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,DOG_RING,T75_DOG_RING_CXE298_190418,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,DRAW_BAR,T75LA01960_130215,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,DUBRIN_ADAPTER,T75_DUPRIN_ADAPTER_CXE298_190418,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,PILOT_BUSH,MC9H003662_130215,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,PISTON,T75_PISTON_CXE298_190418,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,PISTON_SLEEVE,T75_PISTON_SLEEVE_CXE298_190418,STEEL,21000,7820,,-,-,,
CHUCK_CYLINDER_ASSY,RTRY_JOINT,T75_RTRY_JOINT_CXE298_190418,ALUMINIUM_AC4A,7000,2770,,-,-,,
CHUCK_CYLINDER_ASSY,RTRY_JOINT_BASE,T75_RTRY_JOINT_BASE_CXE298_190418,STEEL_FC300,21000,7820,,-,-,,
CROSS_SLIDER_ASSY,BEARY_GUIDE_ARM,Z907889900_A,BEARY,380,3390,,-,0.4,,
CROSS_SLIDER_ASSY,BEARY_SIDE_CROSS,Z907887100_A,BEARY,380,3390,,-,0.4,,
CROSS_SLIDER_ASSY,BEARY_SIDE_GIB,Z907887200_A,BEARY,380,3390,,-,0.4,,
CROSS_SLIDER_ASSY,BEARY_TOP_CROSS,Z907887000_A,BEARY,380,3390,,-,0.4,,
CROSS_SLIDER_ASSY,BEARY_UNDER_FRONT,Z907887300_A,BEARY,380,3390,,-,0.4,,
CROSS_SLIDER_ASSY,BOTTOM_CAP_R_FRONT,T753005462-201,STEEL,21000,7820,,-,-,2,TRUE
CROSS_SLIDER_ASSY,BOTTOM_CAP_R_REAR,T753005562-201,STEEL,21000,7820,,-,-,2,TRUE
CROSS_SLIDER_ASSY,BRARY_UNDER_REAR,Z907887400_A,BEARY,380,3390,,-,0.4,,
CROSS_SLIDER_ASSY,CROSS_SLIDE_R,T753000467-701,FC300_FC28,12840,7300,,-,0.8,2,
CROSS_SLIDER_ASSY,DRIVE_ARM,T753000862-201,FC300_FC28,12000,7300,,-,-,3,
CROSS_SLIDER_ASSY,FLANGE,MC93034162-201,STEEL,21000,7820,,-,-,,
CROSS_SLIDER_ASSY,FLANGE_L,MC93029361-101,STEEL,21000,7820,,-,0.5,,
CROSS_SLIDER_ASSY,FRONT_CAP,MC93008362-201,STEEL,21000,7820,,-,-,,
CROSS_SLIDER_ASSY,GIB_SIDE,T753003560,FC200,8900,7250,,-,0.4,,
CROSS_SLIDER_ASSY,GIB_UNDER_FRONT,T753003961-101,FC200,8900,7250,,-,0.4,,TRUE
CROSS_SLIDER_ASSY,GIB_UNDER_REAR,T753004361-101,FC200,8900,7250,,-,0.4,,TRUE
CROSS_SLIDER_ASSY,GUIDE_ARM,T753000667-701,FC300_FC28,12000,7300,,-,-,3,
CROSS_SLIDER_ASSY,GUIDE_ARM_GIB,T753003261-101,FC200,8900,7250,,-,0.4,,
CROSS_SLIDER_ASSY,GUIDE_ARM_PAD,T753003061-101,FC200,8900,7250,,-,0.4,,
CROSS_SLIDER_ASSY,GUIDE_RAIL,T753000761-101,STEEL,21000,7820,,-,-,2,TRUE
CROSS_SLIDER_ASSY,SQUARE_RING,MC93007361-102,FC150,6900,7100,,-,0.5,,
CROSS_SLIDER_ASSY,TURRET_BAR,T753000560,STEEL,21000,7820,,-,-,3,
CROSS_SLIDER_ASSY,TURRET_BEARING_FRONT,T753000961-101,FC100,4500,6900,,-,-,2,
CROSS_SLIDER_ASSY,TURRET_BEARING_REAR,T753001062-203,FC100,4500,6900,,-,-,,
MOTOR_PULLEY_BELT_ASSY,MOTOR_PLATE_SPINDLE,T752000961-101,STEEL,22050,7820,,-,-,,
MOTOR_PULLEY_BELT_ASSY,RETAINER_MOTOR,T752004261-101,STEEL,21000,7820,,-,-,6,
MOTOR_PULLEY_BELT_ASSY,SPACER_SPN_MOTOR,T752000660,BESS,1000,1900,,-,-,,
MOTOR_PULLEY_BELT_ASSY,SPACER_SPN_MOTOR,T752000760,BESS,1000,1900,,-,-,,
MOTOR_PULLEY_BELT_ASSY,SPACER_SPN_MOTOR,T752004460,BESS,1000,1900,,-,-,,
MOTOR_PULLEY_BELT_ASSY,SPN_MOTOR_SOLID,ai18_SPMT_FlangeMounting_Fanuc,ALUMINIUM_AC4A,7000,2770,,-,-,,
MOTOR_PULLEY_BELT_ASSY,V_PULEEY_F18_24PK,T752003861-101,STEEL,21000,7820,,-,-,6,
SPINDLE_ASSY,BEARING_CAP,A082022060-001,FC200,8900,7250,,-,-,,
SPINDLE_ASSY,FRONT_CLOSER_SEAL,MC92004362-201,FC200,8900,7250,,-,-,,
SPINDLE_ASSY,FRONT_CLOSURE,MC92003361-101,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,HEAD_STOCK,T752000064-401,FC300_FC28,13800,7300,,-,-,1,
SPINDLE_ASSY,LABYRINTH_RING,A082021060-001,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,LOCK_NUT_FRONT,MK15001960-002,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,LOCK_NUT_REAR,MK15000561-102,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,SPACER,A082019060-001,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,SPINDLE,T752000162-201,STEEL,21000,7820,,16,-,,
SPINDLE_ASSY,TIMING_PULLEY,MC92011160-001,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,V_PULLEY,MC92012262-202,STEEL,21000,7820,,-,-,,
TOOLING_ASSY,BITE,T75_BITE25x150_21229_190131,STEEL,21000,7820,,-,-,4,
TOOLING_ASSY,TURNING_HEAD,MC98601065-501_181218,FCD450,15188,7200,6.7,-,-,,
TOOLING_ASSY,WEDGE_CLUMP,670020031,SCM415,22500,7820,,-,-,4,
TURRET_ASSY,CAP_PSTN_RING,T753009060,STEEL,21000,7820,,-,0.8,,
TURRET_ASSY,CLPG_SLV ,Z066915180_A,STEEL,21000,7820,,-,-,,
TURRET_ASSY,COOLANT_DISTRIBUTOR_TEN,T753001460,FC300_FC28,12000,7300,,-,-,,
TURRET_ASSY,COUPLING_FIX,T753000161-101,SCM415,22500,7820,,-,0.8,,
TURRET_ASSY,COUPLING_ROT,T753000260-001,SCM415,22500,7820,,-,-,,
TURRET_ASSY,TURRET_10ST,T753000061-101,FC300_FC28,12000,7300,,-,1,4,
TURRET_INDEX_ASSY,BUSH_FRONT,Z066916820,STEEL,21000,7820,,-,0.5,,
TURRET_INDEX_ASSY,BUSH_FRONT,ZK81014300,STEEL,21000,7820,,-,0.5,,
TURRET_INDEX_ASSY,BUSH_FRONT,MC93005163-301,STEEL,21000,7820,,-,0.5,,
TURRET_INDEX_ASSY,BUSH_REAR,Z066916820,STEEL,21000,7820,,-,0.5,,
TURRET_INDEX_ASSY,BUSH_REAR,ZK81014300,STEEL,21000,7820,,-,0.5,,
TURRET_INDEX_ASSY,BUSH_REAR,MC93005064-401,STEEL,21000,7820,,-,0.5,,
TURRET_INDEX_ASSY,CAP_CYL,T753007360,STEEL,21000,7820,,-,1,,
TURRET_INDEX_ASSY,GEAR,MC83454061-101,SCM415,22500,7820,,-,-,,
TURRET_INDEX_ASSY,GEAR_BOX,MC83453065-503,FC300_FC28,12000,7300,,-,-,,
TURRET_INDEX_ASSY,GEAR_INDEX,MC93408262-201,SCM415,22500,7820,,-,-,,
TURRET_INDEX_ASSY,GEAR_SHAFT,MC83429262-201,SCM415,22500,7820,,-,0.5,,
TURRET_INDEX_ASSY,INDEX_MOTOR_SOLID,bis8-12_SVMT_Fanuc,FC300_FC28,12000,7300,1.96,-,-,,
TURRET_INDEX_ASSY,INDEX_SHAFT,T753001260,STEEL,21000,7820,,-,-,5,
TURRET_INDEX_ASSY,NUT_LOCK_NUT,Z066916740,SCM415,22500,7820,,-,-,,
TURRET_INDEX_ASSY,PISTON_DUMMY,T753001560,STEEL,21000,7820,5.7,-,-,,
TURRET_INDEX_ASSY,PISTON_DUMMY,Z061961930,STEEL,21000,7820,5.7,-,-,,
TURRET_INDEX_ASSY,PISTON_DUMMY,ZK92044600,STEEL,21000,7820,5.7,-,-,,
TURRET_INDEX_ASSY,PISTON_DUMMY,Z061962070,STEEL,21000,7820,5.7,-,-,,
TURRET_INDEX_ASSY,PLATE,T753002261-101,STEEL,21000,7820,,-,-,,
TURRET_INDEX_ASSY,RETAINER_GEAR,MC93410060-002,STEEL,21000,7820,,-,-,,
TURRET_INDEX_ASSY,RING_LOCK,EL,STEEL,21000,7820,,-,0.5,,
TURRET_INDEX_ASSY,SUPPORT_GEAR_BOX,T753001161-101,FC300_FC28,12000,7300,,-,-,,
X_AXIS_DRIVE_ASSY,BEARING_CAP_X,MC93105060-001,STEEL,21000,7820,,-,-,1,
X_AXIS_DRIVE_ASSY,HOUSING_X_BRG,T751003660,FC300_FC28,12000,7300,,-,-,1,
X_AXIS_DRIVE_ASSY,HOUSING_X_MOTOR,T751000563-301,FC300_FC28,12000,7300,,-,-,1,
X_AXIS_DRIVE_ASSY,X_AXIS_MOTOR_SOLID,B12is_C22554_20110511,ALUMINIUM_AC4A,7000,2770,2.41,-,-,,
X_AXIS_DRIVE_ASSY,X_BS_NUT,Z907463700_B,SCM415,22500,7820,,-,-,2,
X_AXIS_DRIVE_ASSY,X_BS_SCREW,Z907463700_A,SCM415,22500,7820,,-,-,,
Z_AXIS_DRIVE_ASSY,HOUSING_Z_MOTOR,T753001363-301,FC300_FC28,12000,7300,,-,-,2,
Z_AXIS_DRIVE_ASSY,Z_AXIS_MOTOR_SOLID,bis22_SVMT_Fanuc,ALUMINIUM_AC4A,7000,2770,,-,-,,
Z_AXIS_DRIVE_ASSY,Z_BS_NUT,Z907463602_B,SCM415,22500,7820,,-,-,3,
Z_AXIS_DRIVE_ASSY,Z_BS_SCREW,Z907463602_A,SCM415,22500,7820,,-,-,,
SPINDLE_ASSY,BRG_ANG,Z907100501_A,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,BRG_RR,Z908077400,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,BRG_RR,Z908077500,STEEL,21000,7820,,-,-,,
## Spring CSV,,,,,,,,,,
# Spring name, # X or R [kgf/mm], # Y or theta [kgf/mm], # Z [kgf/mm],,,,,,,
CylinderAdp,0,300000,0,,,,,,,
GireR,0,101972000,0,,,,,,,
GireT,0,339.8,0,,,,,,,
LevelingBolt1,21406.82867,42813.65735,21406.82867,,,,,,,
LevelingBolt2,21001.09688,42002.19376,21001.09688,,,,,,,
LevelingBolt3,14158.7723,28317.5446,14158.7723,,,,,,,
LevelingBolt4,13120.08983,26240.17965,13120.08983,,,,,,,
ORing,300000,0,8000,,,,,,,
ORingCase,300000,300000,300000,,,,,,,
Piston,3569,3569,3569,,,,,,,
ShellBRG1,42488.17554,0,212.4408777,,,,,,,
ShellBRG2,0,0,3993.916667,,,,,,,
ShellBRG3,39125.80194,0,5281.983261,,,,,,,
SolidBRG,2605.078684,3722.385888,57143.06936,,,,,,,
Spring6817,3738.955,0,1507,,,,,,,
TurretBar,0,1090550,749002,,,,,,,
TurretCop,13665,3290.17,2912.99,,,,,,,
X_BS_BRG,86675.8781,0,0,,,,,,,
X_BS_MON,86675.8781,0,0,,,,,,,
X_BS_NUT,55574.53361,0,0,,,,,,,
Z_BS_MON,0,0,86675.8781,,,,,,,
Z_BS_NUT,0,0,65975.63898,,,,,,,
LinearSliding,10615.245,10630.54275,106.3054275,,,,,,,
